EXP_no,Treatment1,Treatment2,Sample_Name,Experiment_Day,PIC,PIC_rsd,PIC_sd,POC,POC_rsd,POC_sd,DIC,ALK,DOC,DOC_sd,CHL,O2
EXP1,Light,NaOH,1-NAOH-D4-1,4,0.6,0.008755622,0.005253373,616.4,0.024971752,15.39258822,2018,2758.1,NA,NA,3.86,246.851
EXP1,Light,NaOH,1-NAOH-D4-3,4,0.9,0.008755622,0.00788006,574.8,0.024971752,14.35376331,2022,2740.6,NA,NA,5.91,213.163
EXP5,Light,Control,5-CON-D0-1,0,2.021339543,0.052299295,0.105714632,374.3688494,0.098613623,36.91786854,2094.288785,2250.69,108.9729501,55.13837416,1.78,277.162
EXP5,Light,Control,5-CON-D0-2,0,1.43471765,0.052299295,0.075034721,392.0341715,0.098613623,38.65990995,2088.027188,2252.46,83.25545583,42.60733834,2.36,289.824
EXP5,Light,Control,5-CON-D0-3,0,0.030935812,0.052299295,0.001617921,341.166982,0.098613623,33.64371211,2087.497934,2252.36,96.19287649,43.33598875,1.59,282.789
EXP5,Light,Control,5-CON-D2-1,2,0.749536155,0.009580804,0.007181159,398.8092914,0.068687802,27.39333363,2095.684704,2248.06,154.5219951,82.12696274,3.01,nan
EXP5,Light,Control,5-CON-D2-2,2,2.54517438,0.009580804,0.024384817,397.3344049,0.068687802,27.29202692,2088.10401,2246.61,128.1110084,61.04113254,3.33,315.148
EXP5,Light,Control,5-CON-D2-3,2,2.863776751,0.009580804,0.027437284,400.3296521,0.068687802,27.49776387,2086.819107,2248.78,94.13571005,42.40038428,3.13,298.265
EXP5,Light,Control,5-CON-D4-1,4,4.192947169,0.009580804,0.040171806,503.8853236,0.068687802,34.61077532,2056.59276,2214.43,89.98058351,41.44165361,2.66,323.59
EXP5,Light,Control,5-CON-D4-2,4,3.608900279,0.009580804,0.034576167,408.8137849,0.068687802,28.0805203,2063.545943,2245.27,88.61690944,39.49726907,1.84,310.928
EXP5,Light,Control,5-CON-D4-3,4,3.966540026,0.009580804,0.038002643,452.1870075,0.068687802,31.05973162,2050.020006,2223.54,107.8656934,55.49216491,1.61,330.624
EXP5,Light,NaOH,5-OH-D0-1,0,1.272760415,0.052299295,0.066564472,381.5191154,0.098613623,37.62298218,2090.845482,2777.07,107.1780287,59.09141834,2.44,274.348
