EXP_no,Treatment1,Treatment2,Sample_Name,Experiment_Day,PIC,PI_13C,POC,PO_13C,PIC_POCr,DIC,DI_13C,ALK,DOC,CHL,temp_out,pressure_out,pH_out,H_out,fCO2_out,pCO2_out,HCO3,CO3,CO2,B_Alk,OH-out,P_Alk,Si_Alk,Revelle_out,ar_omega,dry_CO2,ER_pH_out,ER_H_out,ER_fCO2_out,ER_pCO2_out,ER_HCO3,ER_CO3,ER_CO2,ER_B_Alk,ER_OH-out,ER_P_Alk,ER_Si_Alk,ER_Revelle_out,ER_ar_omega,ER_dry_CO2
EXP7,Dark,Control,7-DRK-D4-CONTROL,4,0.442447281,3.358989971,156.4519551,-23.18466962,0.002828007,2131.47274,110.0690168,2228.73,68.88194811,0.22,16,0,7.726,18.8,893.3,896.4600877,2011.8,87.2,32.5,41.2,1.4,0,0,15.282,1.383597367,912.5,0.038,1.646449644,85.94453443,86.25208276,16.34819384,6.844704856,3.122038852,3.410925347,0.144945462,0,0,0.509511961,0.120784718,87.79632408
EXP7,Dark,CaO,7-DRK-D2-CaO,2,41.14596401,-4.771452177,130.4922541,-20.85053442,0.315313459,2128.099485,117.4434961,2761.91,33.3365012,0.18,16,0,8.527,3,117.2,117.6022525,1667.4,456.5,4.3,172.7,9,0,0,7.551,7.432321375,119.7,0.066,0.452133651,24.5457808,24.63361668,97.05669206,41.18080805,0.892147235,16.14724776,1.43925959,0,0,0.232991668,0.704905114,25.0746524
EXP7,Dark,CaO,7-DRK-D4-CaO,4,0.568386488,-3.119736825,104.6158232,-21.83127263,0.005433083,2097.492204,118.5954524,2744.85,55.67391938,0.23,16,0,8.545,2.9,109.7,110.1320852,1628.5,465,4,177,9.3,0,0,7.477,7.570941172,112.1,0.021,0.138290404,6.56262661,6.586110649,21.04501696,10.15401732,0.238130197,6.17878028,0.665202442,0,0,0.048855387,0.354049561,6.704027155
EXP8,Dark,Control,8-CON-D0-1,0,26.65140857,-4.323437607,232.1188077,-21.77090771,0.114817963,2177.196365,112.8946649,2254.29,65.47751459,0.61,14.5,0,7.687,20.5,991.1,994.7411745,2062.3,77.2,37.7,36.5,1.1,0,0,16.166,1.224927944,1010.9,0.047,2.212759332,115.8383727,116.26087,18.37636123,7.614715931,4.403797977,3.719346925,0.138675991,0,0,0.571568776,0.127649246,118.1479416
EXP8,Dark,Control,8-CON-D0-2,0,25.02955057,-2.392633566,229.8023785,-21.9322799,0.108917718,2158.207701,113.7032207,2257.99,68.60600882,0.6,14.5,0,7.753,17.7,842.2,845.2939179,2037.5,88.7,32,41.9,1.3,0,0,15.347,1.40739778,859,0.033,1.348177773,70.55384074,70.81117176,14.10774388,6.024767569,2.681128002,3.065154638,0.127245887,0,0,0.454005828,0.110006157,71.9605331
EXP8,Dark,Control,8-CON-D0-3,0,33.56582595,-3.324791446,375.190516,-24.19786943,0.089463418,2199.889787,117.0541447,2255.1,64.44445209,0.48,14.5,0,7.621,23.9,1169.8,1174.048112,2088.3,67.1,44.5,31.7,1,0,0,16.839,1.064671827,1193.1,0.108,5.941155819,311.6452096,312.7818732,38.18284853,15.43510222,11.85187844,7.33733637,0.245497693,0,0,0.948862205,0.240321369,317.8587471
EXP8,Dark,CaO,8-CaO-D0-1,0,41.05585356,62.63844734,220.1408704,-20.03556072,0.186498098,2133.26654,118.8231432,2878.35,68.45947514,0.43,14.5,0,8.646,2.3,84,84.30093087,1589.2,540.8,3.2,197.3,10.2,0,0,7.354,8.781963327,85.7,0.02,0.102732524,4.481562039,4.49790764,16.00115413,8.829042175,0.170093985,6.280954342,0.769750955,0,0,0.029352994,0.390938149,4.57091478
EXP8,Dark,CaO,8-CaO-D0-2,0,33.65414349,-1.203173933,240.0561611,-24.73995135,0.140192792,2127.983332,112.5516354,2864.07,64.79613294,0.18,14.5,0,8.64,2.3,85.3,85.64552015,1591.1,533.6,3.2,195.7,10,0,0,7.36,8.665249667,87,0.019,0.100851355,4.322064101,4.337827965,13.57985822,8.169332377,0.164002846,6.13444654,0.749789076,0,0,0.027658989,0.382935405,4.408236795
EXP8,Dark,CaO,8-CaO-D0-3,0,29.52629874,-3.29637342,357.9684327,-24.75962919,0.082482968,2148.458381,106.1195672,2865.62,67.17730537,0.57,14.5,0,8.62,2.4,91.2,91.5812988,1624.7,520.3,3.5,190.7,9.6,0,0,7.408,8.449849102,93.1,0.022,0.119752177,5.556380463,5.57664625,21.54397263,10.63469321,0.210989893,6.566077361,0.750883923,0,0,0.038859579,0.388611251,5.66716278
EXP8,Dark,Control,8-DRK-D2-CON,2,21.866664,0.742828014,205.1741903,-23.69161037,0.106576095,2179.474296,130.2390997,2252.73,71.34618878,0.53,14.5,0,7.676,21.1,1019,1022.672431,2065.4,75.3,38.8,35.6,1.1,0,0,16.293,1.194780754,1039.3,0.084,4.103409136,214.4282896,215.2103739,32.7688312,13.4667956,8.154306216,6.428840687,0.222466533,0,0,0.957772389,0.212127306,218.70353
EXP8,Dark,Control,8-DRK-D4-CON,4,27.91247877,-0.299209853,371.9375247,-23.67051876,0.075046149,2194.711263,113.197398,2248.03,78.68752654,0.34,14.5,0,7.615,24.3,1182.5,1186.778721,2083.7,66,45,31.3,0.9,0,0,16.875,1.047218191,1206,0.031,1.75937201,91.46828338,91.80189565,10.07507926,4.571730538,3.47539449,2.266656684,0.089978634,0,0,0.368748922,0.083020656,93.2919649
EXP8,Dark,CaO,8-DRK-D2-CaO,2,22.34044772,1.31142453,226.0949703,-23.41011465,0.098810016,2147.270742,115.7887844,2846.24,81.68414046,0.44,14.5,0,8.604,2.5,95.2,95.5828134,1637.3,506.3,3.6,187,9.3,0,0,7.438,8.221994837,97.1,0.020188668,0.115598108,5.244097349,5.263224145,17.2349516,9.162129982,0.199060735,6.219739236,0.705687227,0,0,0.035157355,0.370939057,5.34865341
EXP8,Dark,CaO,8-DRK-D4-CaO,4,38.13729903,1.720133195,325.0756299,-23.57160304,0.117318235,2135.467566,119.419006,2856.59,62.3270403,0.42,14.5,0,8.626,2.4,89.2,89.48543475,1609.5,522.6,3.4,192.2,9.7,0,0,7.389,8.487030366,90.9,0.021902811,0.119443594,5.509551499,5.529646486,21.96192745,10.93938261,0.209221359,6.632627774,0.764654259,0,0,0.038621083,0.391979405,5.619400147
